cancer_type,tcga_abbrev,rank,gene_index,gene_symbol,importance_score,known_biomarker
acute myeloid leukemia,LAML,5,97,gene_97,0.006009,
acute myeloid leukemia,LAML,6,92,gene_92,0.005477,
acute myeloid leukemia,LAML,7,38,gene_38,0.005408,
acute myeloid leukemia,LAML,8,91,gene_91,0.005389,
acute myeloid leukemia,LAML,9,131,gene_131,0.004919,
acute myeloid leukemia,LAML,10,132,gene_132,0.004798,
lung adenocarcinoma,LUAD,1,38,gene_38,0.007031,
lung adenocarcinoma,LUAD,2,48,gene_48,0.003377,
lung adenocarcinoma,LUAD,3,40,gene_40,0.003094,
lung adenocarcinoma,LUAD,4,49,gene_49,0.002954,
lung adenocarcinoma,LUAD,5,50,gene_50,0.002933,
lung adenocarcinoma,LUAD,6,44,gene_44,0.002776,
lung adenocarcinoma,LUAD,7,36,gene_36,0.002611,
lung adenocarcinoma,LUAD,8,43,gene_43,0.002551,
lung adenocarcinoma,LUAD,9,45,gene_45,0.002479,
lung adenocarcinoma,LUAD,10,41,gene_41,0.002447,
liver hepatocellular carcinoma,LIHC,1,48,gene_48,0.046434,
liver hepatocellular carcinoma,LIHC,2,40,gene_40,0.045735,
liver hepatocellular carcinoma,LIHC,3,44,gene_44,0.043354,
liver hepatocellular carcinoma,LIHC,4,50,gene_50,0.041462,
liver hepatocellular carcinoma,LIHC,5,52,gene_52,0.037694,
liver hepatocellular carcinoma,LIHC,6,45,gene_45,0.037139,
liver hepatocellular carcinoma,LIHC,7,36,gene_36,0.036672,
liver hepatocellular carcinoma,LIHC,8,33,gene_33,0.035318,
liver hepatocellular carcinoma,LIHC,9,68,gene_68,0.035169,
liver hepatocellular carcinoma,LIHC,10,53,gene_53,0.034268,
uterine corpus endometrioid carcinoma,UCEC,1,492,gene_492,0.001410,
uterine corpus endometrioid carcinoma,UCEC,2,20,gene_20,0.001408,
uterine corpus endometrioid carcinoma,UCEC,3,44,gene_44,0.001339,
uterine corpus endometrioid carcinoma,UCEC,4,16,gene_16,0.001302,
uterine corpus endometrioid carcinoma,UCEC,5,493,gene_493,0.001274,
uterine corpus endometrioid carcinoma,UCEC,6,34,gene_34,0.001264,
uterine corpus endometrioid carcinoma,UCEC,7,46,gene_46,0.001203,
uterine corpus endometrioid carcinoma,UCEC,8,64,gene_64,0.001182,
uterine corpus endometrioid carcinoma,UCEC,9,499,gene_499,0.001168,
uterine corpus endometrioid carcinoma,UCEC,10,41,gene_41,0.001152,
glioblastoma multiforme,GBM,1,39,gene_39,0.086712,
glioblastoma multiforme,GBM,2,51,gene_51,0.070693,
glioblastoma multiforme,GBM,3,56,gene_56,0.064627,
glioblastoma multiforme,GBM,4,55,gene_55,0.063292,
glioblastoma multiforme,GBM,5,68,gene_68,0.062194,
glioblastoma multiforme,GBM,6,22,gene_22,0.057340,
glioblastoma multiforme,GBM,7,40,gene_40,0.056937,
glioblastoma multiforme,GBM,8,27,gene_27,0.056047,
glioblastoma multiforme,GBM,9,36,gene_36,0.055597,
glioblastoma multiforme,GBM,10,28,gene_28,0.053266,
brain lower grade glioma,LGG,1,38,gene_38,0.027129,
brain lower grade glioma,LGG,2,35,gene_35,0.015322,
